Date,Time,Source,Title,Link
2026-01-23,22:36,NBC News,Pentagon shifts focus away from China in new defense strategy,https://news.google.com/rss/articles/CBMitgFBVV95cUxPU2w5LUtZWVA3RHNDcENtbVl0M3ZIbXlIeVdzaFRhdHBDZlNrMHJUVlVqZUJYZktoUnVkbzY4c2UyRlE0R0lPb09oYWRFMHpDSW1xWHVwQWRIMXltTlhoZjFleWxfbDdEVjU2ZnltY2ZkVmxKQzhVOTJ6Y2l4eWtrMURWelB0TUg4MTh6cGFXajM5SEdZaDlhR0hRVkZQZmFzcWYySnRqbUk3RWV3akc0d0Fuc1pVZw?oc=5
2026-01-22,12:54,Military.com,Pentagon Overhauls Military Moving System After Years of Family Complaints,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOcEMtUFpDWWlQLW9JNVQ0VzNlYUZha0tCWkRrdEZtUGtSTHZ2RmI0RE1UTXE0d1BocjRMMEwwUFg3bEpyclhHTC1Idkl0OUVrQS1aalpsRzkwV3lhOURaYS04WUw0eW8xS3VjR2FsTlZKSUdoWG9zYmh5OG1mTnhnY3JFR2d3SThzMHAzS2lEeF9qN01RZmo3Vm5oVDZ0MzZMX3h6aGtJYnlmSk5RaDlXcEZELTQyR09YMWtzX0ZBcUVJZW10Qnh2SktONzJYUEFnV1E?oc=5
2026-01-24,13:08,The Hill,"Pentagon’s National Defense Strategy downplays China, focuses on Western Hemisphere",https://news.google.com/rss/articles/CBMihAFBVV95cUxNd21ncjYxTXRYTE9NQ2YySjJrRG5RU2VERkJyUFlhb1NZRG1TMERhbVNOTmM4UThLXzFmQTdnbHRtSGxCam0ta2JQOC1seHlyVlV1Wmw2Y05tbFBURlJET2g1NTJHel9WUVZDcUpLQ29BeTFodzd1d25zWWE3bWlkQWZZMljSAYoBQVVfeXFMTTVQVE1TRUxkMXlSS0tmbXFVWVBaQ01QRnVOVEVGUThnMl9hQjVpLXczbnZHS2N2VFk5ek9peFBzNjNlbDg1UjNPX1MyRzFQRVBDa2RIZG51b3gtX21ITGdpMW9wcEdud2hKMmFHUkZjdHExd3E1TEJQaTZXS1ZmNkEwYWZneHJpYW93?oc=5
2026-01-24,08:32,Military.com,Department of War Releases National Defense Strategy – Homeland at Forefront,https://news.google.com/rss/articles/CBMivAFBVV95cUxPbnpadVd5MURBMzBWdlRNWU5TNHdONm9lTkZ3Y0tjN2VkbUlsUU5SYWZ0SWxkams1VXpVb0FKZVFGM29oRWstRTRuMzFMUURuVDFwUGRGd0FEMFhwSzBYQklzSnI1YXNwQzRBc0g2MWs3TTNNVlY2UFJodjFBTTBuOEYtS21zMzFrQlNaZ2ZnQXMxV3Nod2FXX1htT1lvTzNJZ2F1NDAyMldQMWdKLVNPc19Lcm5MWmdiNElJbQ?oc=5
2026-01-24,10:02,Stars and Stripes,"Pentagon shifts defense strategy to focus on homeland, offer more limited support to allies",https://news.google.com/rss/articles/CBMimwFBVV95cUxOUTQtWG1LX3pXZ2IzZVlKWVU4UU1WTEFsaERtaGVxWmZVN0xlV01jZVg4RmtvRkRXejR5OC1XcDJ4clJKaUF0STBiWlVEc3pESkJoM0xmVzVwYzFPeWtqbmhQZ014bU9qY19sbThOUGsxNWJtYTV0TUV3eW1PU0hLX0N4T005aXRleEFXeHNYTWxYWU9FQzA1QnhVbw?oc=5
2026-01-24,04:17,NPR,Trump administration's defense strategy tells allies to handle their own security,https://news.google.com/rss/articles/CBMiigFBVV95cUxPZW5vb1FyN0NPSHhNU2tUZndMMVVCWnBQUWVMb1NjUnhhaUpIZl9JR3lnT1BzWHp0Q0tJaG5BRXA5ZkJLdTBObjR4TWl0ZEdlbEtjQkN1emtSczF5aDRnNjhraDJ6X0FsRU5Pei1PeXh2YTlYSzZvVWR5amYxQ3JZQ2tXU2s3S21Pb0E?oc=5
2026-01-24,09:39,politico.eu,"New US defense strategy downgrades Europe, elevates Greenland to American priority",https://news.google.com/rss/articles/CBMiqAFBVV95cUxQd09aSGItdDdPUGw0cXBfUGlRU0t2WmhjLThtREx2RlBCeU1QeVFKQ0FWNVVRNlo3TmpMNGx5b3E5bjd6RDRHTllXRGtHckpCR1p5VTdoUGZsd2pNOG9oREVDMHhHcEVZYTNYNjFJMWtZMXlLT2ZpcEdPNUNLdHF4Q244dmlhdGZOUExMQ3JJQzNCVjVkb0QxaU81bnk4RnhXVWgxSVVkS0c?oc=5
2026-01-24,05:42,kyivpost.com,"Pentagon’s New Defense Strategy Shifts Focus, Calls Russia a ‘Persistent but Manageable Threat’",https://news.google.com/rss/articles/CBMiS0FVX3lxTE41dExqSFpuOHpTMXRPaU1IUFQ5eEU4YmV6a2hjbVNlUEljVlhwVFFHZmNQMkhxSnpYZG9RMTU3R0dlbXZUSFBqbDAwdw?oc=5
2026-01-23,23:57,The Wall Street Journal,Pentagon’s New Defense Strategy Strikes Conciliatory Tone on China,https://news.google.com/rss/articles/CBMiwwNBVV95cUxPRktrNzhIeG5jVWVzczM3bkVyc0VoWEdQazdXcjBvSi1vMmVVVFB3Uml1X2Q3V0t2Rk5DcUZ3VzZOaGF0VHk5TFRwRk85YWZ1dEdkaWV6dG9EdDBGSnc0dFlZWVBFZXVXcGZxUFBVeXlOLVFGN21zZFJKYmNSQnBxN1hySE15Tlc0Sktxbnp4dzJxai1WcEZUMHoyUGY2VUF5LWtLdTJ4djZ0UkFHQXZHTkFnWkNvZWppd3BYa1JBYXZhUVZnVUgxWkdSNFFjREN2Mk9mRGdudW5Xa2RMM2NOZ01Hak55OWRaelFfSGQyNEs0ZTdyV3g5aU8xUk9IbXRnVnJwb1Z1QWc2cVNqalJlRFFfenk4Z0R6YlF3N0pfRHYtVVh0V25WSFpTN3c1M3ppX2pZRlZQVnlkLU43UVNWU3VsYUhGVkFKZWZxSjlFaFVnSVpnMXE0dXBBMWlHRmpKaHZ6czB3MXV2RURGZm1FLUdoWU95TF82ckZzU3NUSWxLcEVhMVFzNjJtN3Z5SHFwMXJCdjJ3dnNabE1MVjFlWTV1dXVVMHNzTVBrSjJtLTR2RXpVcDhIZ1JBLWE4VWNKV05N?oc=5
2026-01-24,10:31,Evrim Ağacı,Pentagon Unveils Defense Strategy Prioritizing Homeland Security,https://news.google.com/rss/articles/CBMinwFBVV95cUxQUG1JMjgwUmVjQThrVU1xZ2s4NEkxcXpMMF80R0RQUUZYd1NBQWQ0UGQwb0k4WXUzbjdwNE9feXZCUnR6UVFQM0IxOW81MUk5c2xzZ2xCdFFhd2lNdDJSUHFpN2lPcVpfRlM5R2t6MXFJdXNGTGNiZmRUdUFkTGFjdHpWSjlqN1pEVExONU1qc0MzOTMtM3ZYMnNrV0E0ZGM?oc=5
